GEOID,INVESTPER,INVESTPER_A,disadvantaged,RISK_SCORE,TotPop,CIscore,Ozone,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,AAPI
6029003303,0.030891447,0.001073721,1,15.20265984,1521,41.19240284,0.06133785,10.34679667,51.40012446,0.031357347,11.10143124,0,0,452.5669911,49.6624156,99.96696716,1.1375,519.586896,62.30798052,67.94331583,76.48393195,10.4,62.03807391,102,96.81221982,0.85,82.54136334,0,0,6.6,81.30584192,49.5692788,6.052399096,69.32171749,34.66,32.82652044,6.06,76.44341801,17.02,76.34596211,31.8,82.18172615,8,53.36310732,60.5,92.02261307,10.9,89.4586153,13.3,29.72116603,14.0697,45.2991,50.2301,0,1.5122,2.3669,0.5917
6115040500,0.130130085,0.001349367,0,18.35764047,4052,37.86386171,0.04490202,8.688572919,29.43372744,0.100402237,37.3988799,573.7559432,86.34482759,13.63673337,9.864966242,1141.752212,66.0125,389.0764057,41.1265143,67.93652324,76.47132955,8.25,53.69540873,9,43.84858044,0.2,35.6187955,0,0,0.2,9.667812142,41.74206474,5.096697814,47.84069695,42.65,45.58823529,4.73,44.765204,23.36,95.72532403,32.6,83.14350797,-999,-999,50.9,82.93969849,13.8,95.49713691,20.1,63.25728771,8.4156,43.2626,43.8055,0.2468,1.5054,3.2083,7.9714
6071010402,0.142611876,0.001388711,0,17.47255101,9593,16.90231959,0.05807345,6.436570949,4.779091475,0.022819139,8.201617922,0,0,8.269456533,8.414603651,20.74814773,0.0125,504.9206749,61.04658424,42.89404249,41.1342155,0,0,28,77.93458409,0,0,0,0,4,70.42382589,26.61359016,3.249514072,11.3130056,35.37,34.18494516,5.01,52.5404157,28.14,99.28963111,3.1,11.35155657,0,0,51,83.04020101,9.1,82.32691307,10.2,14.68948035,0,23.7256,61.4198,5.8584,1.6366,4.2739,3.0856
6023011600,0.401969232,0.002523302,0,23.72565561,3465,16.46463183,0.03064023,5.030933355,1.144990666,0.00410263,1.692594897,5.78E-05,1.379310345,0.124314667,2.763190798,92.37650044,0.9125,234.741398,9.154489821,50.11497735,51.73282924,0,0,73,94.68703304,0,0,5,51.21797564,23.8,99.06071019,22.38214254,2.732855158,5.189794648,60.59,69.67846461,5.24,58.55786502,15.42,68.81854437,15.5,56.47937231,0,0,45.5,76.8718593,-999,-999,21.4,68.54245881,18.3261,6.0029,89.7835,2.2511,0.1154,1.5584,0.2886
6071010417,0.442217702,0.002768329,0,29.00605341,2931,16.05919471,0.06464682,5.74222248,2.576228998,0.009785909,3.746110765,0,0,0.666558,3.963490873,828.1499981,46.25,488.3744467,58.94842013,33.35972034,28.35538752,0,0,3,22.11522497,0,0,0,0,5,75.67010309,26.30798156,3.212199324,10.79029247,60.97,70.27666999,4.46,37.58018989,16.29,72.80658026,7.6,32.62465199,1.6,12.27500338,39.7,68.83165829,5.5,51.26236335,10.5,15.85551331,19.9591,14.9096,81.5421,0.3753,0,2.5247,0.6482
6071025100,0.446741529,0.002797316,0,26.46314129,1343,33.68330358,0.0500928,7.922425211,12.60734287,0.012297579,4.592408214,0,0,0.003812733,0.71267817,186.3676593,3.725,548.6769928,64.54352442,40.01409126,37.22747322,15,74.93467712,48.2,89.63971443,0.55,72.58769027,2,23.87652247,7.5,84.74226804,38.42528684,4.691719891,38.69321717,111.68,95.08973081,-999,-999,16.73,74.95014955,21.1,66.62870159,0.3,0.514277981,46.5,78.10301508,22.5,99.64862051,11.8,22.10392902,34.2517,16.2323,49.2182,1.0424,29.7841,3.1273,0.5957
6065044907,0.471141589,0.002958977,0,23.02167484,5461,21.39677785,0.06236471,6.923355521,6.583696329,0.160574091,53.81456129,0,0,0.0522557,1.975493873,841.9000061,47.1875,407.9316987,45.36030973,48.7992226,49.85507246,0,0,0,0,0.02,2.514890801,0,0,0,0,24.62399886,3.006585369,8.102053516,38.38,38.60917248,5.92,73.50526046,13.42,56.70488534,25.5,74.17109593,13.4,72.51319529,65.4,95.23869347,7.6,72.52732952,29.8,90.24081115,4.2117,89.6722,8.6065,0.1648,0,0,1.5565
6071009708,0.483812302,0.003046578,0,23.68840845,5488,22.70740546,0.06604873,7.003521122,6.845052894,0.001397768,0.535158681,0,0,56.7776343,19.00475119,276.0965153,7.05,531.9681802,63.39452979,41.85591878,39.68494014,6,46.0806271,0,0,0,0,3,33.15833683,0,0,24.60113593,3.003793811,8.077162414,71.83,79.7108674,7.08,90.67231203,22.97,95.10219342,14.9,55.13793976,1.6,12.27500338,33.3,59.08291457,12.7,93.71421135,20.8,66.07097592,16.3265,21.3557,75.0182,1.4577,0.2915,1.2755,0.6013
6071010300,0.484563753,0.003051854,1,17.118616,3547,40.27099433,0.05807345,7.146123517,7.454884879,0.009462122,3.609209708,0.581701621,39.4137931,0.129471,2.813203301,395.5536382,13.8125,769.6449193,86.98638691,41.4091686,39.05482042,42.4,94.17693169,61.55,92.8274946,0.71,78.75579087,0,0,42.9,99.86254296,46.89422896,5.725776042,61.95395146,48.81,54.8105683,9.43,99.16602515,16.5,73.92821535,14.4,54.07491774,5.1,38.13777236,45.2,76.4321608,13.7,95.28891202,14.2,34.24588086,17.3668,26.6986,60.8683,3.2422,1.8889,0.874,6.428
6071009109,0.55558339,0.003594044,0,30.66966155,6639,16.55399275,0.06591477,9.926852832,48.36341008,0.010254985,3.982576229,0,0,113.7933032,24.86871718,556.1417743,25.1875,361.6456461,37.25490196,26.45595564,19.62192817,0,0,0,0,0.2,35.6187955,0,0,0,0,23.5870634,2.879975755,6.757934039,48.91,55.03489531,5.44,62.98434693,14.78,65.06729811,10.5,43.77372817,2.3,18.10799838,45.7,77.06030151,8.4,77.7589797,13.8,32.26869455,15.2734,26.7209,63.6843,1.1598,0.1657,3.1782,5.0911
